# tiempos tomados sin podas G, S y Z. Y sin promediar las muestras. 
n^2-k tiempo
4 0,00009200
3 0,00009500
3 0,00009700
3 0,00009000
3 0,00010000
3 0,00009500
3 0,00015100
3 0,00014500
3 0,00011600
3 0,00014000
3 0,00012300
3 0,00009800
3 0,00009500
3 0,00009800
3 0,00010600
3 0,00011600
2 0,00013100
2 0,00013200
2 0,00015100
2 0,00025100
2 0,00021700
2 0,00012200
2 0,00008300
2 0,00007100
2 0,00008200
2 0,00009900
2 0,00012800
2 0,00014500
2 0,00016000
2 0,00012800
2 0,00013300
1 0,00029700
1 0,00024000
1 0,00021400
1 0,00020200
1 0,00019400
1 0,00010900
1 0,00011100
1 0,00012400
1 0,00014400
1 0,00010900
1 0,00010900
1 0,00014400
1 0,00013000
1 0,00011200
1 0,00010900
0 0,00011000
0 0,00009400
0 0,00008400
0 0,00007500
0 0,00007100
0 0,00013500
0 0,00012000
0 0,00014300
0 0,00012600
0 0,00012700
0 0,00013100
0 0,00009800
0 0,00010500
0 0,00012100
0 0,00020700
16 0,00017700
16 0,00021000
16 0,00015000
16 0,00015800
16 0,00016700
16 0,00015100
16 0,00015000
16 0,00010000
16 0,00017000
16 0,00010300
16 0,00019900
16 0,00027900
16 0,00009700
16 0,00013600
16 0,00014500
15 0,00026700
15 0,00016600
15 0,00028800
15 0,00020900
15 0,00030400
15 0,00030500
15 0,00011500
15 0,00009500
15 0,00019400
15 0,00033500
15 0,00016700
15 0,00028900
15 0,00025500
15 0,00010200
15 0,00009100
14 0,00013900
14 0,00025200
14 0,00020800
14 0,00030000
14 0,00039100
14 0,00017000
14 0,00031000
14 0,00009100
14 0,00010600
14 0,00012500
14 0,00017000
14 0,00015200
14 0,00008000
14 0,00006500
14 0,00007800
13 0,00012300
13 0,00014700
13 0,00014000
13 0,00031800
13 0,00024300
13 0,00009700
13 0,00009300
13 0,00012100
13 0,00013700
13 0,00020300
13 0,00023200
13 0,00008700
13 0,00017400
13 0,00032400
13 0,00024200
12 0,00009600
12 0,00007400
12 0,00008600
12 0,00010000
12 0,00010700
12 0,00015800
12 0,00028100
12 0,00015000
12 0,00015000
12 0,00013000
12 0,00011800
12 0,00011500
12 0,00010400
12 0,00017000
12 0,00014200
11 0,00018600
11 0,00026100
11 0,00022500
11 0,00020800
11 0,00011600
11 0,00010700
11 0,00010400
11 0,00013300
11 0,00012800
11 0,00012000
11 0,00009600
11 0,00006500
11 0,00009600
11 0,00010600
11 0,00011100
10 0,00011000
10 0,00011200
10 0,00009400
10 0,00015100
10 0,00024100
10 0,00010200
10 0,00022400
10 0,00018300
10 0,00009600
10 0,00010600
10 0,00013500
10 0,00011600
10 0,00015000
10 0,00012900
10 0,00014700
9 0,00009100
9 0,00009200
9 0,00009200
9 0,00009000
9 0,00010800
9 0,00014300
9 0,00012100
9 0,00010600
9 0,00012700
9 0,00011400
9 0,00010600
9 0,00007400
9 0,00008100
9 0,00009600
9 0,00011300
8 0,00013100
8 0,00015000
8 0,00013300
8 0,00013700
8 0,00013100
8 0,00016000
8 0,00010200
8 0,00007300
8 0,00008500
8 0,00006700
8 0,00012700
8 0,00011400
8 0,00013500
8 0,00015900
8 0,00013400
7 0,00009500
7 0,00015300
7 0,00025800
7 0,00022500
7 0,00024300
7 0,00019100
7 0,00010400
7 0,00010700
7 0,00012100
7 0,00017500
7 0,00014100
7 0,00010600
7 0,00012100
7 0,00013500
7 0,00009400
6 0,00007600
6 0,00007700
6 0,00009500
6 0,00014300
6 0,00013800
6 0,00015700
6 0,00012300
6 0,00014500
6 0,00011700
6 0,00009600
6 0,00010400
6 0,00010200
6 0,00011700
6 0,00008400
6 0,00012400
5 0,00012500
5 0,00010600
5 0,00010600
5 0,00013600
5 0,00014200
5 0,00014600
5 0,00009100
5 0,00008800
5 0,00011200
5 0,00010700
5 0,00012100
5 0,00012500
5 0,00014900
5 0,00014100
5 0,00013000
4 0,00011800
4 0,00010100
4 0,00008700
4 0,00008900
4 0,00012200
4 0,00024700
4 0,00022500
4 0,00012900
4 0,00012400
4 0,00012100
4 0,00017500
4 0,00013800
4 0,00008500
4 0,00019200
4 0,00011700
3 0,00009400
3 0,00010500
3 0,00011000
3 0,00013100
3 0,00012100
3 0,00009900
3 0,00008500
3 0,00011100
3 0,00010000
3 0,00008500
3 0,00009400
3 0,00009000
3 0,00010000
3 0,00010900
3 0,00016000
2 0,00011600
2 0,00013500
2 0,00013600
2 0,00012200
2 0,00008200
2 0,00009800
2 0,00009100
2 0,00007900
